Applicant_ID,Full_Name,Employer_Name,Age,Employment_Type,Monthly_Net_Income,Total_Existing_EMIs,Is_First_Loan,CIBIL_Score,Requested_Loan_Amount,Requested_Tenure_Months,Average_Monthly_Bank_Balance,Number_of_Bounced_Transactions_Last_6M,Default_Probability,Default
APP00046,Philip Cannon,Hill Group,40,Salaried,98461.77,17913.98,0,823.0,5197515.07,48,143337.05,0,0.0024,0
APP00047,John Pierce,"Sanders, Leblanc and Maldonado",47,Self-Employed,49733.95,11776.21,1,,3098882.59,24,27860.97,3,0.6464,0
APP00048,Shane Henderson,Watson PLC,40,Self-Employed,129071.97,4252.3,0,807.0,7096536.57,48,189309.17,1,0.0009,0
APP00049,Joshua Blair,Thompson-Harrell,45,Self-Employed,33917.1,11242.23,0,611.0,709474.69,12,77831.79,3,0.9152,1
APP00050,Eric Carney,"Arnold, Cooper and Monroe",39,Self-Employed,78042.61,26505.88,0,736.0,5515710.91,60,162775.41,2,0.4422,1
APP00051,Jessica Holmes,Curry-Barker,41,Self-Employed,123994.24,22608.29,0,797.0,7339860.58,60,317623.66,0,0.0044,0
APP00052,Danny Morgan,Johnson-Williams,44,Self-Employed,106745.05,16789.8,0,679.0,4949053.34,84,86752.6,2,0.1199,0
APP00053,Crystal Robinson,"Chan, Lewis and Walker",23,Self-Employed,196978.23,57395.93,0,746.0,4316552.68,60,296996.9,4,0.0342,0
APP00054,Mark Perez,Byrd LLC,35,Salaried,47200.56,4104.83,0,765.0,1055444.22,24,88572.56,0,0.0011,0
APP00055,Shannon Jones,"Ortiz, Smith and Deleon",33,Salaried,34891.05,10694.69,1,,1704772.37,60,30276.8,0,0.1468,0
APP00056,Michael Lewis,"Smith, Buck and Holland",32,Salaried,40960.31,9890.09,0,646.0,1514377.42,36,36102.62,3,0.4912,0
APP00057,Timothy Duncan,"Owen, Walker and Franklin",35,Salaried,89581.85,21154.52,0,768.0,4707666.71,60,193962.77,1,0.0207,0
APP00058,Richard Aguirre,Marquez-Fletcher,53,Salaried,94618.43,14220.69,0,783.0,3249732.63,24,190735.22,0,0.0052,0
APP00059,Brent Jordan,Coleman-Bennett,29,Salaried,64500.78,17040.14,1,,2758744.31,48,118565.4,1,0.0661,0
APP00060,John Daniel,Stevens-Robinson,48,Salaried,45625.02,1899.48,0,735.0,1062035.59,24,52156.99,0,0.0032,0
APP00061,Victoria Garcia,Byrd-Holloway,21,Salaried,77666.46,20161.2,0,678.0,1655232.87,36,119419.04,3,0.0852,0
APP00062,Gerald Hensley,Silva-Smith,35,Salaried,38353.14,1107.6,0,700.0,634310.53,36,21079.74,1,0.0039,0
APP00063,Connor West,"Levy, Franco and Hoffman",40,Self-Employed,144610.86,31935.19,0,813.0,8847055.19,120,106113.35,3,0.0323,0
APP00064,Donald Wright,"Lynch, Evans and Rodriguez",44,Self-Employed,497016.84,168205.46,0,683.0,22526381.4,120,741439.79,2,0.2155,1
APP00065,Jessica Callahan,Rogers LLC,45,Salaried,88210.05,7506.42,0,719.0,6071362.1,60,107613.27,1,0.0333,0
APP00066,Amber Kidd,"Nguyen, Hill and Douglas",46,Salaried,98315.88,30696.41,0,760.0,5600974.85,120,241782.28,1,0.1314,0
APP00067,Tracy House,"Evans, Hernandez and Cannon",35,Salaried,53312.28,10244.13,0,699.0,3098818.22,84,80897.47,0,0.045,0
APP00068,Carol Tucker,Trujillo PLC,33,Self-Employed,16616.37,4037.7,0,744.0,706918.47,12,10348.33,2,0.1683,0
APP00069,James Brown,Guerrero-Becker,47,Self-Employed,45086.06,16058.08,0,552.0,2746969.23,48,20181.47,3,0.9945,1
APP00070,William Baker,"Johnson, Jimenez and Phillips",36,Salaried,41201.36,1702.61,0,717.0,2823273.76,24,93335.51,0,0.0104,0
APP00071,Jordan Henderson,Sullivan-Doyle,25,Self-Employed,19247.64,4095.74,0,781.0,1064479.74,12,15974.58,0,0.0123,0
APP00072,Whitney Peters,"Erickson, Armstrong and Lee",27,Salaried,130135.06,14364.67,0,828.0,2386070.16,24,119206.47,0,0.0001,0
APP00073,Brittney Phillips,"Reeves, Parks and Little",29,Salaried,69647.72,14414.6,0,643.0,3556295.71,60,97376.96,2,0.2205,0
APP00074,Lauren Daniels,Knox-Powers,43,Self-Employed,86745.91,2209.2,0,693.0,1667776.21,12,99356.89,0,0.0022,1
APP00075,Amy Silva,"Evans, Jackson and Sandoval",39,Salaried,60781.78,10342.61,0,729.0,1011004.29,12,113525.59,2,0.0222,0
APP00076,Sarah Moore,"White, Davis and Anderson",45,Salaried,69201.73,13996.29,0,667.0,3707415.3,12,106631.33,1,0.2318,0
APP00077,Angela Lopez,Hardy-Hansen,34,Salaried,101446.05,7314.77,0,708.0,6298493.98,60,76140.85,1,0.0108,0
APP00078,Megan Young,Arroyo LLC,40,Salaried,69654.0,13060.56,0,759.0,1499684.82,48,155401.28,1,0.0081,0
APP00079,Steve Sanchez,"Davis, Kelly and Garner",44,Self-Employed,97504.91,15282.0,0,664.0,1603850.18,120,140605.32,2,0.065,0
APP00080,Lisa Barnes,Fisher-Eaton,35,Self-Employed,52743.49,12264.35,0,597.0,3438420.58,36,94485.13,0,0.4585,1
APP00081,Kelly Donovan,Green-Carter,43,Salaried,62711.4,17190.47,0,601.0,1249998.85,12,27591.44,2,0.612,1
APP00082,Mike Allen,Ruiz Ltd,31,Salaried,33581.78,7590.1,0,702.0,473676.61,48,61539.4,1,0.0325,0
APP00083,Michael Evans,"Carpenter, Oliver and Kennedy",34,Self-Employed,14965.46,4624.05,0,562.0,827040.11,12,15274.27,2,0.9729,1
APP00084,Paul Jones,Mason Ltd,34,Salaried,58426.91,15841.9,0,676.0,3672886.74,120,87674.65,1,0.2954,0
APP00085,Zachary Ferrell,Moreno-Gutierrez,26,Self-Employed,55918.28,12808.29,0,632.0,2397127.25,48,61610.52,0,0.0806,0
APP00086,Daniel Baker,Taylor and Sons,43,Salaried,41007.44,7942.81,0,819.0,1820546.58,24,110761.89,0,0.0058,0
APP00087,Shirley Suarez,Ortiz-Hudson,33,Salaried,63900.93,12291.94,0,851.0,2058353.2,12,62208.2,0,0.0006,0
APP00088,Christopher Bass,Thomas-Huffman,38,Self-Employed,65156.06,7893.59,0,638.0,1714112.17,12,170293.3,2,0.0894,0
APP00089,Lisa Archer,Maxwell Group,43,Salaried,27724.28,854.63,0,761.0,1588987.22,24,76292.74,0,0.0058,0
APP00090,Aimee Montoya,Welch-Thompson,42,Salaried,47911.89,12736.21,1,,3016392.11,36,64496.8,1,0.3382,0
APP00091,Matthew Mcmillan,"Brown, Hayes and Clark",45,Salaried,89845.06,22913.59,0,678.0,2809876.01,60,98769.83,1,0.1402,0
APP00092,Brian Rodriguez,Johnston and Sons,37,Salaried,81176.11,22167.9,1,,2307767.9,48,101815.09,4,0.3494,0
APP00093,Denise Jacobs,Glover-Chan,34,Salaried,39107.95,145.74,0,721.0,1097662.39,24,116064.86,0,0.0013,0
APP00094,Christina Walters,Mendez Ltd,37,Salaried,73240.33,6086.2,0,720.0,1101221.42,12,143693.06,0,0.0016,0
APP00095,John Whitehead,Powell-Sanford,21,Self-Employed,102279.38,16803.58,0,624.0,2952243.24,36,174795.43,3,0.0828,1
APP00096,Anna Henderson,Smith-Ferguson,24,Self-Employed,90016.32,14139.75,0,750.0,1218735.88,12,48921.37,3,0.0048,1
APP00097,Aaron Wise,"Watson, Smith and Morris",25,Salaried,55853.01,14066.46,0,516.0,3312332.68,48,127888.67,0,0.6737,1
APP00098,Deborah Figueroa,"Lee, Rhodes and Sims",28,Salaried,49234.23,6787.57,1,,1346832.47,36,32524.42,0,0.0051,0
APP00099,Jessica Smith,Perez LLC,42,Self-Employed,42322.49,3302.11,0,706.0,2260414.84,60,25111.8,2,0.0674,0
APP00100,Stephen Mckee,Anderson-Reyes,29,Self-Employed,77697.69,27653.78,1,,3464641.29,36,75823.91,2,0.2741,1
APP00101,Sandra Aguilar,"Torres, Brown and Williams",34,Salaried,71756.34,20671.01,0,759.0,4466675.33,48,103768.74,0,0.0369,0
APP00102,Cameron Parker,Bryant-Meyer,51,Salaried,100385.59,10864.32,0,806.0,6989118.53,84,260003.62,0,0.0054,0
APP00103,Rebecca Valencia,"Morgan, Barron and Cowan",34,Salaried,69743.39,20881.95,0,590.0,2373890.27,48,146785.14,2,0.6867,1
APP00104,Christine Wright,Ferrell-Henry,45,Salaried,108122.16,28444.35,0,836.0,1870561.87,36,93344.13,0,0.0019,0
APP00105,Richard Henson,Martin Group,29,Salaried,64278.71,2326.27,0,659.0,3662520.42,60,90267.82,0,0.0083,0
APP00106,Marc Moore,Perez Ltd,36,Salaried,95907.48,10931.52,0,810.0,1273472.87,48,221636.53,0,0.0003,0
APP00107,Sharon Cherry,Clark Inc,28,Self-Employed,101640.72,13962.96,1,,2579417.97,24,172065.05,0,0.0026,0
APP00108,Sierra Johnson,"Wagner, Martinez and Dawson",35,Self-Employed,34448.82,9149.37,0,665.0,523451.19,24,27969.06,1,0.1315,0
APP00109,Evelyn Galvan,Brooks Ltd,46,Self-Employed,19390.36,3378.98,0,654.0,1277609.37,36,26376.73,3,0.8539,1
APP00110,Sharon Cochran,Wise-Dean,21,Salaried,110156.82,13281.23,0,700.0,1356892.4,12,213744.35,2,0.0028,0
APP00111,Richard Rodriguez,"Vang, Stanley and Valdez",42,Salaried,81179.79,9536.97,1,,3374199.66,60,224119.26,0,0.0122,0
APP00112,Shannon Walker,Williams Inc,40,Self-Employed,19349.02,4324.06,0,646.0,724426.17,24,37029.88,1,0.4293,1
APP00113,Julia Torres,Wallace-Martinez,32,Self-Employed,35341.94,4373.36,0,702.0,1808259.2,12,17920.02,1,0.0344,0
APP00114,Crystal Johnson,Wells-Hernandez,24,Salaried,81344.52,28821.0,0,606.0,2390279.95,12,151439.61,3,0.6663,1
APP00115,Garrett Lin,"Jennings, Smith and Fisher",39,Self-Employed,52209.59,16337.67,0,600.0,3363431.56,60,49641.06,2,0.916,1
APP00116,Diana May,Bates LLC,33,Salaried,51543.18,11571.27,1,,2889549.28,60,121504.48,3,0.2997,0
APP00117,William Herrera,"Obrien, Taylor and Rivas",40,Self-Employed,171297.02,44118.48,0,612.0,6498609.17,48,217846.09,2,0.402,1
APP00118,Ashley Waller,Hunt PLC,38,Salaried,43085.63,9017.8,0,693.0,1442574.77,12,38539.6,0,0.0422,0
APP00119,Victor Baker,Campbell Inc,54,Salaried,52805.63,14847.22,1,,3218677.43,24,75781.99,0,0.3877,0
APP00120,Jeffrey Chandler,Gonzalez-Gonzalez,36,Salaried,74098.7,10779.08,0,735.0,4255015.24,36,78190.67,0,0.0099,0
APP00121,Larry Dixon,Decker-Dudley,28,Salaried,72449.03,31728.61,0,773.0,2603818.28,48,61652.1,2,0.1457,0
APP00122,Kenneth Scott,Warner-Phillips,40,Salaried,88362.38,34311.32,0,529.0,2870214.25,24,137653.59,2,0.9634,1
APP00123,April Frost,Kelley and Sons,40,Salaried,106500.43,1342.63,1,,1526500.42,12,255933.5,2,0.0034,0
APP00124,Michelle Harmon,"Fitzpatrick, Rivera and Smith",52,Salaried,82694.02,7217.25,1,,1397730.28,12,204624.43,1,0.0138,0
APP00125,Helen Jones,"Davis, Rodriguez and Andrews",46,Self-Employed,96838.58,20326.42,0,767.0,1475346.2,24,129508.15,0,0.0045,0
APP00126,Erin Edwards,Hernandez-Davis,42,Salaried,64362.15,17398.25,0,737.0,866631.75,36,37127.76,1,0.032,0
APP00127,Michelle Evans,"Jones, Cummings and Conway",53,Salaried,77789.09,6818.73,0,727.0,1646977.23,36,127184.68,0,0.0056,0
APP00128,Jason Powell,"Hall, Hinton and Phillips",26,Self-Employed,57952.15,16684.14,0,672.0,3675818.19,60,78604.87,3,0.5515,0
APP00129,Cameron Fisher,Williams-Li,32,Salaried,70587.17,8334.28,0,673.0,4227434.6,120,65918.38,1,0.0413,0
APP00130,Megan Orr,Phelps LLC,29,Salaried,87208.76,17308.94,0,757.0,5470991.92,60,215267.21,0,0.0075,0
APP00131,Elizabeth Kelley,"Edwards, Rodgers and Davis",34,Self-Employed,88126.31,17013.0,0,578.0,4355909.34,84,233713.67,2,0.5103,0
APP00132,Dustin Jordan,Smith and Sons,24,Self-Employed,53892.53,5324.9,0,767.0,2664650.5,48,32242.57,1,0.0025,0
APP00133,Mary Marshall,"Holland, Murphy and Kline",44,Salaried,51399.09,11025.5,0,716.0,998987.86,12,114227.9,0,0.0236,0
APP00134,Daniel Kennedy,"Adams, Quinn and Watson",36,Self-Employed,64221.22,7580.86,1,,3463959.26,60,127768.31,0,0.0142,0
APP00135,Rebecca Jackson,White-Morales,23,Salaried,55940.24,4270.94,0,725.0,1611167.57,24,62068.68,0,0.001,0
APP00136,Jose Schultz,Nelson-Cruz,28,Salaried,66294.72,1690.62,0,737.0,2860961.82,48,136651.19,0,0.0008,0
APP00137,Robert Potter,Marsh-Banks,41,Self-Employed,304586.46,80985.39,0,728.0,21102772.15,36,216981.54,4,0.3384,1
APP00138,Courtney Gonzalez,Wilson Ltd,46,Salaried,59745.22,12421.98,1,,3837849.05,48,36056.17,1,0.2252,0
APP00139,David Alvarez,"Brown, Dunlap and Moore",58,Self-Employed,92395.57,18320.54,0,778.0,2401509.7,60,248351.06,1,0.0222,0
APP00140,Angel Perry,Pruitt-Webb,65,Salaried,122314.41,10277.87,0,673.0,6873951.95,36,245005.09,2,0.3041,0
APP00141,Cheyenne Horton,"Gregory, White and James",42,Self-Employed,70418.85,9644.73,0,767.0,1284823.29,12,74324.53,0,0.002,0
APP00142,David Douglas Jr.,Carr-Huffman,28,Salaried,174026.72,37012.74,0,758.0,2367555.0,24,252733.76,0,0.0008,0
APP00143,Patricia Rodriguez,"Mcpherson, Anderson and Knapp",21,Salaried,46396.1,5703.18,0,646.0,635183.85,24,125200.09,2,0.0145,0
APP00144,Christopher Rubio,Clay Group,41,Salaried,82726.3,28587.39,0,593.0,1837747.36,48,109274.05,2,0.7664,1
APP00145,Amber Wright,Brown Ltd,30,Salaried,43575.86,11166.61,0,693.0,2339888.6,48,104521.73,1,0.1432,0
APP00146,Joyce Solis,Smith-Oneill,34,Self-Employed,46716.71,8225.08,0,757.0,1578947.82,60,113839.32,1,0.0104,0
APP00147,Victoria Larson,"Saunders, Ray and Cunningham",32,Salaried,71670.16,15049.85,0,592.0,928597.8,24,87262.59,2,0.2129,0
APP00148,Stephanie Salazar,"Marks, Stone and Watts",37,Salaried,99811.3,29279.81,0,618.0,7114684.92,48,190785.84,3,0.8776,1
APP00149,Kathy Rivas,"Davis, Stanley and Wright",49,Salaried,87302.54,32261.53,1,,3841547.97,36,153108.03,2,0.6336,1
APP00150,Stephanie Manning,Alvarado-Davidson,40,Salaried,124548.3,43372.39,0,700.0,4438006.24,36,249752.24,0,0.0887,0
APP00151,David Wright,Combs PLC,36,Self-Employed,57310.75,4237.23,0,824.0,2471869.39,48,78087.09,0,0.0005,0
APP00152,Pamela Boyd,"Brown, Schneider and Moore",28,Salaried,52336.95,5355.67,0,605.0,2260865.02,12,31314.6,3,0.2342,0
APP00153,Denise Jones,Christian-Booth,21,Self-Employed,331892.98,23671.69,0,850.0,13346809.07,36,296884.39,2,0.0001,0
APP00154,Devon Flores,Walton LLC,33,Salaried,77498.19,19941.56,0,589.0,3780124.06,84,137849.39,2,0.6498,1
APP00155,Brenda Hall,Rivera LLC,37,Salaried,49337.18,15655.01,1,,3213705.08,48,101190.22,2,0.5786,0
APP00156,Michelle Brown,Hunter PLC,56,Salaried,55332.93,6736.45,0,728.0,1665677.34,12,124201.96,0,0.019,0
APP00157,Joshua Perry,"Gray, Montoya and Miller",39,Salaried,45702.09,6347.01,1,,1883754.29,36,83322.18,1,0.0398,0
APP00158,Jason Stein,Solis-West,48,Self-Employed,132432.79,15659.33,0,685.0,1618148.58,24,88704.39,3,0.0457,0
APP00159,Melissa Gates,West-Wilson,33,Self-Employed,45717.14,3507.22,0,719.0,2907100.84,60,23881.94,1,0.0183,0
APP00160,Jamie Smith,Mcgee-Smith,26,Self-Employed,58762.12,25464.52,0,673.0,1783679.05,36,113019.62,0,0.2212,1
APP00161,Paul Castaneda,Gutierrez-Hawkins,28,Salaried,59062.7,9711.15,0,645.0,1670164.08,12,101553.86,2,0.0749,0
APP00162,Jennifer Adkins,Petersen PLC,31,Salaried,87905.88,22063.97,0,708.0,6316233.61,36,188862.27,2,0.1984,0
APP00163,Lindsey Walker,"Walsh, Wu and Hart",59,Salaried,51663.53,21358.37,0,669.0,2431470.38,24,37171.62,0,0.8541,1
APP00164,Jeffrey Johnson,"Powers, Clements and Cox",30,Salaried,38473.06,14723.25,0,759.0,745707.77,36,47244.52,0,0.0325,0
APP00165,Michael Powell,Velasquez Group,46,Self-Employed,80437.85,4838.46,0,730.0,2246749.7,36,218290.12,0,0.0029,0
APP00166,John Anderson,Castro-Harvey,29,Salaried,80728.65,13041.85,0,653.0,2679674.18,48,68938.6,1,0.0306,0
APP00167,Alyssa Long,Moran-Cox,47,Salaried,87832.05,19253.73,0,616.0,6250445.06,60,51131.9,0,0.492,1
APP00168,Alyssa Day,Wilson-Malone,42,Self-Employed,37309.28,13177.11,1,,1411682.4,24,65547.84,3,0.7418,0
APP00169,Joel Williams,Smith LLC,36,Self-Employed,98415.98,18816.84,0,645.0,2539923.61,24,176799.36,0,0.0297,0
APP00170,Daniel Murphy,"Brandt, Carter and Boyd",38,Salaried,49389.18,3673.28,0,658.0,2280982.81,24,136954.93,0,0.0226,0
APP00171,Jamie Walton,"Rodriguez, Prince and Vasquez",31,Salaried,50018.99,7760.57,0,758.0,1814968.04,24,127627.54,0,0.0034,0
APP00172,Darlene Miller,"Newton, Ortiz and King",42,Salaried,47294.35,609.6,0,641.0,723491.1,24,111533.26,0,0.0077,0
APP00173,Joshua Cooke,Lopez Group,33,Salaried,116555.65,26380.7,0,801.0,7419370.79,120,56633.14,0,0.0049,0
APP00174,Matthew Harrington,Bryant and Sons,26,Salaried,78625.3,20406.72,0,691.0,1017509.8,12,116383.49,2,0.036,0
APP00175,Nicole Herring,"Morgan, Sherman and Williams",25,Salaried,76542.73,13179.15,0,707.0,5044856.01,60,191689.46,1,0.0286,0
APP00176,Alex Hernandez,"Monroe, Chapman and Barton",40,Self-Employed,153827.17,47683.31,1,,9154489.22,36,205913.66,2,0.3087,1
APP00177,Michael Elliott,Ellis-Lawrence,54,Self-Employed,492419.61,41907.88,0,753.0,8149245.38,84,1369779.52,2,0.0023,0
APP00178,Michael Wang,"Taylor, Porter and Moreno",40,Salaried,32751.22,7881.69,1,,1814963.27,12,61401.24,1,0.2455,0
APP00179,Lawrence Adkins,Tran Group,37,Salaried,48919.45,6144.45,0,690.0,2849876.09,48,35469.38,0,0.0314,0
APP00180,Robert Oconnell,"Webb, Romero and Morse",41,Salaried,54185.79,6534.23,0,744.0,2608418.46,24,90287.98,0,0.0086,0
APP00181,Alexander Collins,Holt and Sons,51,Salaried,51568.86,5880.11,0,632.0,2406216.0,24,108881.99,0,0.147,0
APP00182,Tina Sanders,"Ochoa, Garcia and Sandoval",40,Salaried,43518.21,10412.6,1,,651955.93,24,25416.98,2,0.1105,0
APP00183,Angela Vaughn,"Andrade, Gordon and Cruz",34,Salaried,57433.94,11330.63,0,653.0,894234.01,24,70489.4,0,0.0253,0
APP00184,Ashley Barton,"Moon, Farmer and Hill",49,Salaried,43742.28,8054.47,0,713.0,2433703.44,36,91054.8,2,0.2898,0
APP00185,Lindsay Martinez,Waller-Chavez,42,Salaried,84094.31,22059.39,0,680.0,1541777.59,24,65223.2,2,0.1602,0
APP00186,Dr. Hannah Patterson,Taylor PLC,53,Salaried,77404.98,12077.65,0,775.0,2052056.11,84,97832.28,1,0.012,0
APP00187,Jonathan Peterson,"Tanner, Hunt and Cameron",40,Salaried,87755.52,14022.69,0,671.0,3679606.25,48,179637.7,0,0.0298,0
APP00188,Samantha Garcia,"Valencia, Joseph and Walls",26,Self-Employed,76688.64,27470.44,0,716.0,1675633.0,24,153534.09,1,0.0499,0
APP00189,Madison Poole,"Robinson, Clark and Klein",24,Salaried,75392.15,6041.34,0,716.0,4477567.94,84,129999.4,1,0.006,0
APP00190,Jessica Gross,"Reed, Chambers and Zavala",55,Salaried,63927.71,6320.75,0,634.0,3863962.14,60,175747.87,3,0.6499,1
APP00191,Debra Morton,"Hester, Thompson and Daniels",55,Self-Employed,303468.29,105814.51,1,,18975444.99,48,704910.16,1,0.4139,1
APP00192,Karen Graham,"Morris, Wilson and Bell",36,Salaried,74871.1,21255.69,0,688.0,1121126.45,24,108159.48,1,0.0622,0
APP00193,Debra Christian,Aguilar-Bender,34,Salaried,28427.62,3888.35,0,662.0,1070936.4,12,23853.27,2,0.1431,0
APP00194,Angelica Keith,"Butler, Adkins and Skinner",53,Self-Employed,34083.51,3936.48,0,735.0,2140957.79,36,78114.9,0,0.0564,0
APP00195,John Bishop,Rich-Henderson,27,Salaried,27392.92,3300.07,1,,925693.38,24,28519.23,0,0.0079,0
APP00196,Allen Rosales,Mills Inc,29,Salaried,62082.39,18417.22,0,681.0,3336880.47,60,137844.77,1,0.1947,0
APP00197,Daniel Salinas,Thomas-Santiago,44,Salaried,70029.38,10641.76,0,702.0,3316224.01,60,127337.32,0,0.0298,0
