Applicant_ID,Full_Name,Employer_Name,Age,Employment_Type,Monthly_Net_Income,Gross_Income,Total_Deductions,Total_Existing_EMIs,Is_First_Loan,CIBIL_Score,Requested_Loan_Amount,Requested_Tenure_Months,Average_Monthly_Bank_Balance,Number_of_Bounced_Transactions_Last_6M,Cash_Flow_Month_1,Cash_Flow_Month_2,Cash_Flow_Month_3,Cash_Flow_Month_4,Cash_Flow_Month_5,Cash_Flow_Month_6
APP00033,Tricia Valencia,Holland-Love,33,Salaried,78934.86,93216.96,14282.1,1148.21,0,671.0,552021.16,24,107143.52,0,94051.32,99288.2,104525.08,109761.96,114998.84,120235.72
APP00034,Nathan Maldonado,King LLC,30,Salaried,53872.35,64548.37,10676.02,25555.67,0,522.0,1268906.54,24,85987.29,5,103625.5,96570.21,89514.93,82459.65,75404.36,68349.08
APP00035,Debra Davidson,Ramos and Sons,44,Self-Employed,30419.31,35096.68,4677.37,7490.47,1,,246923.05,24,74281.36,4,80124.04,77786.97,75449.9,73112.83,70775.76,68438.69
APP00036,Jeffrey Chavez,"Holland, Hansen and Nelson",49,Salaried,128635.62,152627.92,23992.31,26832.44,0,645.0,736643.13,60,137463.31,3,147995.82,143782.82,139569.82,135356.81,131143.81,126930.81
APP00037,Sherri Baker,"Warren, Ross and Johns",37,Self-Employed,61737.5,70073.74,8336.24,16024.14,0,806.0,1386921.17,180,133059.13,1,121795.56,126300.99,130806.41,135311.84,139817.27,144322.7
APP00038,Cassandra Gaines,"Hanson, Cook and Johnson",30,Business Owner,20507.71,22595.9,2088.18,4636.33,0,597.0,399874.31,60,42633.76,3,47635.76,45634.96,43634.16,41633.36,39632.56,37631.76
APP00039,Elizabeth Fowler,Ballard-Bailey,30,Self-Employed,57641.23,64374.26,6733.03,6531.07,0,690.0,414101.62,84,132710.96,1,135271.74,134247.43,133223.12,132198.8,131174.49,130150.17
APP00040,Brittany Farmer,"Camacho, Johnson and Faulkner",45,Salaried,47786.14,56863.61,9077.47,1867.84,1,,1559910.96,48,118659.78,0,112127.24,114740.26,117353.28,119966.29,122579.31,125192.33
APP00041,Paula Moreno,"Smith, Hall and Robinson",45,Salaried,61761.55,73163.87,11402.32,4316.19,0,679.0,730065.0,48,95816.18,2,102512.76,99834.13,97155.5,94476.87,91798.24,89119.61
APP00042,Fred Smith,"Ferguson, Buckley and Carpenter",43,Salaried,73354.11,101451.39,28097.28,1782.57,0,665.0,266258.09,120,60639.09,2,65346.94,63463.8,61580.66,59697.53,57814.39,55931.25
APP00043,Sherry Decker,Griffith Inc,31,Self-Employed,30513.23,36544.04,6030.82,8319.86,0,695.0,603870.27,36,47274.31,1,48261.26,47866.48,47471.7,47076.92,46682.14,46287.36
APP00044,Anthony Humphrey,Russell Group,40,Salaried,56750.3,67315.11,10564.8,20780.77,0,813.0,1144384.17,24,44046.63,0,39069.76,41060.51,43051.25,45042.0,47032.75,49023.5
APP00045,Angelica Tucker,Cherry-Warren,39,Salaried,49973.66,66419.31,16445.65,12766.68,0,610.0,277971.11,24,37672.92,4,41346.25,39876.92,38407.58,36938.25,35468.92,33999.58
APP00046,Philip Cannon,"Ellison, Shepherd and Johnson",40,Business Owner,45397.19,52151.22,6754.03,3842.48,0,637.0,230621.34,60,73699.84,0,67925.74,70235.38,72545.02,74854.66,77164.29,79473.93
APP00047,John Pierce,Ellis Inc,47,Self-Employed,33949.1,38371.62,4422.52,9026.77,0,725.0,594147.54,36,34379.12,1,35355.07,34964.69,34574.31,34183.93,33793.56,33403.18
APP00048,Shane Henderson,Miller-Smith,40,Self-Employed,45825.77,51140.15,5314.38,9258.08,0,680.0,209044.73,24,61016.74,1,55581.89,57755.83,59929.77,62103.71,64277.65,66451.59
APP00049,Joshua Blair,Robinson-Cochran,45,Salaried,50009.03,64360.7,14351.67,15327.65,0,609.0,2771038.39,180,41640.48,2,47201.28,44976.96,42752.64,40528.32,38304.0,36079.68
APP00050,Eric Carney,"Scott, Johnson and Garcia",39,Business Owner,135911.06,157920.36,22009.3,57149.85,0,677.0,312776.66,12,282146.1,3,335129.64,313936.22,292742.8,271549.39,250355.97,229162.56
APP00051,Jessica Holmes,"Suarez, Russell and Black",41,Salaried,78261.63,106740.59,28478.95,10348.72,1,,2848683.17,84,169678.53,0,160650.62,164261.78,167872.95,171484.11,175095.28,178706.45
APP00052,Danny Morgan,"Hayes, Perkins and Harris",44,Salaried,126640.08,164731.99,38091.91,7269.94,0,698.0,1028560.15,84,256255.19,0,231132.25,241181.42,251230.6,261279.78,271328.96,281378.13
APP00053,Crystal Robinson,Middleton-Mcdonald,23,Business Owner,332834.03,385754.0,52919.97,57381.21,0,622.0,17542827.5,60,229541.84,0,232615.41,231385.98,230156.55,228927.12,227697.69,226468.26
APP00054,Mark Perez,"Simmons, Holt and Cuevas",35,Business Owner,139872.86,163115.84,23242.98,21163.47,0,765.0,4160050.09,180,166502.31,1,169182.0,168110.12,167038.25,165966.38,164894.5,163822.63
APP00055,Shannon Jones,Shields-Reese,33,Salaried,79452.69,102756.79,23304.09,9047.96,1,,7840744.42,120,155541.13,0,146244.01,149962.86,153681.7,157400.55,161119.4,164838.24
APP00056,Michael Lewis,Robinson and Sons,32,Salaried,89407.63,120803.02,31395.39,13385.41,0,741.0,3085750.82,120,83219.69,0,70803.09,75769.73,80736.37,85703.02,90669.66,95636.3
APP00057,Timothy Duncan,Gonzalez-Bowers,35,Salaried,82098.4,110610.81,28512.41,19648.4,0,674.0,1054682.91,120,187165.97,2,214317.8,203457.07,192596.34,181735.61,170874.88,160014.14
APP00058,Richard Aguirre,"Wells, Rodriguez and Wheeler",53,Self-Employed,71208.79,82178.02,10969.23,2272.94,0,774.0,660828.16,60,188389.31,0,167283.91,175726.07,184168.23,192610.39,201052.55,209494.71
APP00059,Brent Jordan,Erickson PLC,29,Self-Employed,54862.15,65640.15,10778.01,8721.41,0,663.0,1842574.39,24,95745.15,5,103446.73,100366.1,97285.47,94204.84,91124.21,88043.58
APP00060,John Daniel,Meyers-Jones,48,Salaried,47752.69,58955.63,11202.93,11557.79,0,746.0,233642.98,36,34872.44,3,33442.97,34014.75,34586.54,35158.33,35730.12,36301.91
APP00061,Victoria Garcia,Smith Ltd,21,Salaried,80225.95,104218.77,23992.82,28199.8,0,675.0,353975.73,120,69332.52,4,84652.09,78524.26,72396.43,66268.61,60140.78,54012.95
APP00062,Gerald Hensley,Graham-Webb,35,Self-Employed,59189.08,69706.87,10517.8,9919.54,0,605.0,261731.3,60,29928.16,0,30562.96,30309.04,30055.12,29801.21,29547.29,29293.37
APP00063,Connor West,"Rodriguez, Russo and Murphy",40,Self-Employed,177229.41,207228.98,29999.57,25875.52,0,690.0,2316571.22,36,199397.58,1,205673.87,203163.36,200652.84,198142.32,195631.8,193121.29
APP00064,Donald Wright,Evans-Holmes,44,Salaried,111668.91,151161.34,39492.43,12772.48,1,,3849668.25,120,266010.16,0,273236.29,270345.84,267455.39,264564.94,261674.49,258784.03
APP00065,Jessica Callahan,"Ibarra, Alvarez and Schultz",45,Salaried,56437.83,73229.51,16791.68,617.42,1,,1522810.45,60,70344.64,0,59667.16,63938.15,68209.15,72480.14,76751.14,81022.13
APP00066,Amber Kidd,Holmes and Sons,46,Business Owner,257888.78,291946.28,34057.51,12201.99,0,783.0,960684.71,24,638450.2,2,623410.21,629426.21,635442.2,641458.2,647474.2,653490.19
APP00067,Tracy House,Simmons LLC,35,Salaried,21023.05,28130.21,7107.15,6120.72,0,733.0,147508.42,84,47652.15,0,46236.83,46802.96,47369.09,47935.22,48501.35,49067.48
APP00068,Carol Tucker,Lewis-Morris,33,Salaried,154694.04,204435.45,49741.41,37102.26,0,600.0,3972113.66,24,359591.0,0,336670.8,345838.88,355006.96,364175.03,373343.11,382511.19
APP00069,James Brown,"Watson, Mccarthy and Kennedy",47,Self-Employed,26938.73,30405.85,3467.12,1922.77,1,,500858.55,36,66988.32,0,57504.09,61297.78,65091.47,68885.17,72678.86,76472.55
APP00070,William Baker,"Clark, Peterson and Bautista",36,Salaried,84189.86,115280.93,31091.06,15704.09,0,723.0,383773.27,48,75473.13,0,83909.24,80534.8,77160.35,73785.91,70411.46,67037.01
APP00071,Jordan Henderson,Barnett-Mack,25,Business Owner,99083.2,115289.92,16206.72,13749.64,0,681.0,1030678.06,48,187473.04,0,172108.43,178254.27,184400.11,190545.96,196691.8,202837.64
APP00072,Whitney Peters,"White, Johnson and Hodges",27,Self-Employed,119677.72,131556.87,11879.15,943.05,0,774.0,2642937.93,180,186192.24,1,174069.97,178918.87,183767.78,188616.69,193465.6,198314.51
APP00073,Brittney Phillips,Barber PLC,29,Salaried,53130.35,62990.94,9860.59,8010.73,0,730.0,209896.58,24,52135.83,2,51348.65,51663.52,51978.39,52293.26,52608.13,52923.0
APP00074,Lauren Daniels,Cook-Avila,43,Salaried,27855.45,38159.04,10303.58,7214.05,1,,688955.5,60,67887.5,0,72395.94,70592.56,68789.18,66985.81,65182.43,63379.05
APP00075,Amy Silva,Castillo Ltd,39,Self-Employed,50498.23,60651.84,10153.61,11159.5,0,715.0,124868.37,36,130687.58,3,141423.89,137129.37,132834.84,128540.32,124245.8,119951.28
APP00076,Sarah Moore,"Weaver, Dunlap and Pugh",45,Salaried,67775.1,80656.21,12881.11,25044.77,0,730.0,2876251.33,36,79606.75,3,92807.51,87527.21,82246.9,76966.6,71686.3,66405.99
APP00077,Angela Lopez,"White, Ware and Ross",34,Salaried,26136.77,32744.95,6608.19,3547.31,0,764.0,1850711.14,120,63418.38,1,57195.15,59684.44,62173.73,64663.03,67152.32,69641.62
APP00078,Megan Young,Huffman PLC,40,Salaried,72132.82,86815.91,14683.09,14487.54,0,738.0,1178150.41,60,193563.28,2,198365.09,196444.36,194523.64,192602.92,190682.19,188761.47
APP00079,Steve Sanchez,Anderson Group,44,Salaried,45585.7,59125.53,13539.83,7490.52,0,724.0,271932.23,36,119996.93,0,115444.33,117265.37,119086.41,120907.46,122728.5,124549.54
APP00080,Lisa Barnes,King-George,35,Business Owner,136555.34,154375.66,17820.32,18525.83,1,,3950015.95,84,146013.79,1,140389.0,142638.92,144888.83,147138.75,149388.66,151638.57
APP00081,Kelly Donovan,"Meyer, Evans and Chambers",43,Self-Employed,55977.29,63935.3,7958.01,3975.87,0,847.0,789081.17,120,30017.91,1,31376.09,30832.82,30289.54,29746.27,29202.99,28659.72
APP00082,Mike Allen,"Doyle, Clark and Gentry",31,Self-Employed,226909.52,250893.62,23984.09,34771.92,1,,521812.87,60,203504.32,1,183566.03,191541.34,199516.66,207491.98,215467.3,223442.62
APP00083,Michael Evans,Jenkins-Mason,34,Salaried,58568.62,69529.58,10960.97,13298.68,1,,299563.73,12,48734.62,0,42843.15,45199.74,47556.33,49912.92,52269.51,54626.09
APP00084,Paul Jones,Cook Ltd,34,Salaried,79770.63,97197.41,17426.77,27665.04,0,678.0,2257799.38,48,77224.68,1,85597.46,82248.35,78899.23,75550.12,72201.01,68851.89
APP00085,Zachary Ferrell,"Osborne, Smith and Riley",26,Business Owner,58299.71,64089.15,5789.43,11131.97,1,,901246.72,60,75935.9,2,72585.63,73925.74,75265.85,76605.95,77946.06,79286.17
APP00086,Daniel Baker,Burton Group,43,Salaried,35235.05,47013.8,11778.74,13976.35,0,725.0,825919.21,84,71165.79,1,66099.56,68126.05,70152.55,72179.04,74205.53,76232.02
APP00087,Shirley Suarez,"Cox, Tanner and Cardenas",33,Self-Employed,51123.2,60836.35,9713.16,8688.38,0,691.0,586393.93,240,63949.65,1,66257.62,65334.43,64411.25,63488.06,62564.87,61641.68
APP00088,Christopher Bass,Williams-Johnson,38,Salaried,96883.07,116728.12,19845.05,22627.59,0,608.0,1270548.79,24,235637.61,1,249618.93,244026.4,238433.88,232841.35,227248.83,221656.3
APP00089,Lisa Archer,Rose-Juarez,43,Salaried,95909.74,129895.98,33986.24,11986.24,0,766.0,2127340.6,84,198085.91,0,198046.35,198062.17,198078.0,198093.82,198109.65,198125.47
APP00090,Aimee Montoya,"Brewer, Alexander and Cross",42,Salaried,63383.23,79807.73,16424.49,6341.75,0,703.0,808731.07,60,42896.6,0,38135.38,40039.87,41944.35,43848.84,45753.33,47657.81
APP00091,Matthew Mcmillan,"Novak, Trujillo and Perez",45,Salaried,38833.28,53010.86,14177.58,14515.33,1,,173383.55,12,93505.93,3,92753.81,93054.66,93355.51,93656.36,93957.21,94258.06
APP00092,Brian Rodriguez,"Skinner, Bell and Lewis",37,Salaried,91144.93,123525.02,32380.09,14956.15,0,735.0,499171.31,24,99892.43,3,109623.23,105730.91,101838.59,97946.27,94053.95,90161.63
APP00093,Denise Jacobs,Keller-Vaughn,34,Salaried,79380.15,97492.05,18111.9,5781.87,0,660.0,1626900.5,84,172821.3,0,155377.21,162354.84,169332.48,176310.12,183287.75,190265.39
APP00094,Christina Walters,Parrish LLC,37,Salaried,99681.43,123302.7,23621.27,40838.02,0,584.0,2231094.45,24,197202.73,3,212008.52,206086.2,200163.88,194241.57,188319.25,182396.94
APP00095,John Whitehead,"Anderson, Lopez and Brown",21,Salaried,48617.46,59691.44,11073.98,8120.28,0,715.0,893332.92,60,63999.37,1,65560.93,64936.31,64311.68,63687.06,63062.44,62437.81
APP00096,Anna Henderson,Lopez Group,24,Business Owner,16227.15,19202.08,2974.94,2329.71,0,722.0,408116.91,48,40881.76,1,41622.43,41326.16,41029.89,40733.63,40437.36,40141.1
APP00097,Aaron Wise,"Booth, Hunter and Conner",25,Salaried,74128.06,88254.61,14126.55,2788.5,0,712.0,2734047.55,180,183618.54,0,169835.7,175348.84,180861.97,186375.1,191888.23,197401.37
APP00098,Deborah Figueroa,Lara-Scott,28,Self-Employed,54897.53,65399.92,10502.39,14208.91,0,688.0,1574982.01,60,115907.24,3,124279.49,120930.59,117581.69,114232.79,110883.89,107534.99
APP00099,Jessica Smith,"Vaughan, Patterson and Manning",42,Salaried,135290.94,169672.23,34381.29,42741.38,0,738.0,4119803.25,120,308772.67,1,329330.8,321107.55,312884.29,304661.04,296437.78,288214.53
APP00100,Stephen Mckee,Reese-Shaw,29,Salaried,62401.65,80801.75,18400.1,17721.14,1,,1359715.33,36,73123.1,3,80877.74,77775.88,74674.03,71572.17,68470.32,65368.46
APP00101,Sandra Aguilar,Vaughan-Mcknight,34,Salaried,64393.92,81755.83,17361.9,14047.07,1,,545148.94,24,133318.43,2,135332.84,134527.08,133721.31,132915.54,132109.78,131304.01
APP00102,Cameron Parker,Pierce Ltd,51,Business Owner,127422.37,151168.05,23745.68,18710.8,0,721.0,2379362.17,84,203827.8,1,198977.65,200917.71,202857.77,204797.82,206737.88,208677.94
APP00103,Rebecca Valencia,"Santana, Barajas and Matthews",34,Self-Employed,39342.98,43521.48,4178.51,7495.05,0,793.0,1102214.1,180,79374.09,0,64731.44,70588.5,76445.56,82302.63,88159.69,94016.75
APP00104,Christine Wright,Gonzalez and Sons,45,Business Owner,51085.8,58691.56,7605.75,6848.41,0,743.0,383645.65,48,111781.71,0,111496.78,111610.76,111724.73,111838.7,111952.67,112066.64
APP00105,Richard Henson,"Johnson, Sims and Watson",29,Salaried,58945.25,78003.43,19058.18,11058.37,1,,1445610.64,120,111431.39,3,107347.05,108980.78,110614.52,112248.26,113882.0,115515.73
APP00106,Marc Moore,Kirk LLC,36,Self-Employed,32158.58,37271.23,5112.65,7553.92,0,823.0,214285.76,12,74235.48,2,74889.69,74628.0,74366.32,74104.64,73842.95,73581.27
APP00107,Sharon Cherry,Henderson PLC,28,Self-Employed,47063.68,54396.7,7333.03,9935.53,0,695.0,445643.14,36,46426.6,2,48330.99,47569.23,46807.48,46045.72,45283.96,44522.2
APP00108,Sierra Johnson,Martinez LLC,35,Business Owner,408967.13,459767.53,50800.4,102313.86,0,667.0,1469548.45,12,204770.43,4,194402.19,198549.48,202696.78,206844.08,210991.38,215138.68
APP00109,Evelyn Galvan,Clark Ltd,46,Salaried,120901.01,150648.71,29747.7,7263.45,0,734.0,278510.12,24,252739.44,0,229860.93,239012.33,248163.73,257315.14,266466.54,275617.95
APP00110,Sharon Cochran,Nolan PLC,21,Business Owner,84455.06,100868.82,16413.76,2674.9,1,,4092340.34,60,55166.42,2,59206.53,57590.49,55974.44,54358.4,52742.35,51126.31
APP00111,Richard Rodriguez,"Barrett, Morales and Gonzalez",42,Salaried,145390.7,178627.27,33236.57,44768.44,0,714.0,4186105.67,60,139868.56,1,140166.78,140047.49,139928.2,139808.92,139689.63,139570.34
APP00112,Shannon Walker,Chung and Sons,40,Self-Employed,36066.14,40858.14,4792.0,13222.23,1,,2052086.88,180,27534.38,3,28177.18,27920.06,27662.94,27405.82,27148.7,26891.58
APP00113,Julia Torres,Howard Group,32,Salaried,196517.64,235194.6,38676.96,42955.43,0,677.0,5151960.63,48,239105.7,2,239787.64,239514.86,239242.09,238969.31,238696.53,238423.76
APP00114,Crystal Johnson,Baker-Smith,24,Salaried,46717.74,62483.0,15765.26,7592.39,1,,1087823.38,60,127662.9,2,125306.86,126249.28,127191.69,128134.11,129076.52,130018.94
APP00115,Garrett Lin,Johnson PLC,39,Salaried,172097.77,204454.95,32357.18,37422.54,0,675.0,3367641.91,120,342102.02,1,347604.85,345403.72,343202.58,341001.45,338800.32,336599.18
APP00116,Diana May,"Watkins, Pratt and Hill",33,Self-Employed,239156.84,274191.56,35034.72,61770.33,0,698.0,2282893.12,36,122991.47,0,119625.69,120972.0,122318.32,123664.63,125010.94,126357.25
APP00117,William Herrera,Brock Ltd,40,Salaried,32109.07,42480.44,10371.37,8885.2,0,636.0,798175.65,120,81277.06,2,89142.45,85996.29,82850.14,79703.98,76557.83,73411.67
APP00118,Ashley Waller,Clark-Martin,38,Salaried,133574.61,160621.34,27046.73,15486.78,0,637.0,400952.75,60,363709.52,2,387311.77,377870.87,368429.97,358989.07,349548.18,340107.28
APP00119,Victor Baker,Thomas Ltd,54,Salaried,66554.94,85155.46,18600.52,9413.47,0,699.0,612656.48,120,141352.95,0,129624.84,134316.08,139007.33,143698.58,148389.82,153081.07
APP00120,Jeffrey Chandler,"Howard, Davis and Bray",36,Self-Employed,41156.67,46997.45,5840.79,6995.07,0,760.0,940263.51,120,92360.65,1,86464.45,88822.93,91181.41,93539.89,95898.36,98256.84
APP00121,Larry Dixon,Smith-Carter,28,Salaried,76958.45,99779.01,22820.56,28363.62,0,653.0,688452.46,60,57855.69,4,68300.17,64122.38,59944.58,55766.79,51588.99,47411.2
APP00122,Kenneth Scott,Miller PLC,40,Self-Employed,31729.31,36204.69,4475.37,10153.31,0,560.0,969042.23,120,49026.54,4,56851.73,53721.65,50591.58,47461.5,44331.43,41201.35
APP00123,April Frost,Lyons Ltd,40,Salaried,88587.48,120187.94,31600.45,17000.45,0,615.0,2828016.05,48,131667.02,0,113441.45,120731.68,128021.91,135312.14,142602.37,149892.59
APP00124,Michelle Harmon,Mahoney-Martinez,52,Self-Employed,35584.87,40068.57,4483.7,5084.64,0,577.0,225913.86,36,71012.68,3,79512.93,76112.83,72712.73,69312.62,65912.52,62512.42
APP00125,Helen Jones,Turner Inc,46,Self-Employed,77822.63,90637.7,12815.07,5714.32,0,737.0,1028426.8,36,175068.84,1,177638.35,176610.54,175582.74,174554.94,173527.14,172499.34
APP00126,Erin Edwards,"Johnson, Young and Ponce",42,Self-Employed,167438.06,185686.67,18248.62,49526.24,1,,1371972.41,48,163111.24,1,182559.81,174780.38,167000.96,159221.53,151442.1,143662.67
APP00127,Michelle Evans,Evans-Roberts,53,Self-Employed,90110.73,107154.36,17043.63,3251.89,0,723.0,344840.14,48,107062.4,1,106656.93,106819.12,106981.31,107143.5,107305.69,107467.88
APP00128,Jason Powell,Robinson-Black,26,Salaried,50287.05,68012.13,17725.08,20765.59,1,,182530.12,120,107184.99,2,115680.28,112282.17,108884.05,105485.93,102087.81,98689.69
APP00129,Cameron Fisher,Avila-Washington,32,Salaried,81751.92,105529.4,23777.49,18659.11,0,723.0,1705517.63,120,86119.63,1,81395.56,83285.19,85174.82,87064.45,88954.08,90843.7
APP00130,Megan Orr,Dyer-Matthews,29,Self-Employed,20922.3,23698.5,2776.21,6334.12,0,682.0,624730.88,48,24579.6,0,24287.83,24404.54,24521.24,24637.95,24754.66,24871.36
APP00131,Elizabeth Kelley,"Pugh, Hernandez and Guerra",34,Salaried,45059.87,61708.54,16648.67,14492.07,1,,79877.2,12,85726.65,2,86823.04,86384.48,85945.93,85507.37,85068.81,84630.26
APP00132,Dustin Jordan,Little-Murphy,24,Salaried,47357.66,62030.14,14672.48,17765.65,0,641.0,291724.92,60,88161.47,1,96924.32,93419.18,89914.04,86408.9,82903.76,79398.62
APP00133,Mary Marshall,"Gallegos, Brooks and Miller",44,Self-Employed,116653.99,136806.39,20152.4,17041.41,0,720.0,3130081.33,60,156458.67,1,164194.31,161100.05,158005.8,154911.55,151817.29,148723.04
